focus_id,focus_name_en,focus_name_th,target_gender,workout_ids,reps_info
FC01,Chest Blaster,อกแน่นปึ้ก,Male/Unisex,WO11/WO20/WO22,12 ครั้ง x 3 เซ็ต
FC02,Back Width,หลังกว้างตัว V,Male/Unisex,WO13/WO05/WO42,12 ครั้ง x 3 เซ็ต
FC03,Boulder Shoulders,ไหล่กลมสวย,Male/Unisex,WO07/WO15/WO46,12 ครั้ง x 3 เซ็ต
FC04,Arm Pump,แขนใหญ่/กระชับ,Male/Unisex,WO17/WO24/WO47,12 ครั้ง x 3 เซ็ต
FC05,Six Pack Attack,ระเบิดหน้าท้อง,Unisex,WO09/WO31/WO39,20 ครั้ง x 3 เซ็ต
FC06,Glute Builder,ปั้นก้นเด้ง,Female/Unisex,WO53/WO56/WO57,15 ครั้ง x 3 เซ็ต
FC07,Hip Dip Fix,เติมเต็มสะโพก,Female,WO58/WO60/WO65,15 ครั้ง x 3 เซ็ต
FC08,Sexy Legs,ขาเรียวกระชับ,Female,WO59/WO64/WO35,20 ครั้ง x 3 เซ็ต
FC09,Bye Bye Bat Wings,ลดท้องแขนย้วย,Female,WO63/WO32/WO25,15 ครั้ง x 3 เซ็ต
